date | value
0000-10-10 | 1
1000-00-01 | 1
1000-10-00 | 1
2000-13-01 | 1
20000-1-01 | 1
1-12-30 | 1
2020-20-20 | 1
2021-12-32 | 1
32-2000-10 | 1
0001--1-14 | 1
0000-12-12 | 1
year-Mo-Da | 1

2024-01-32 | 1
2024-02-30 | 1
2023-02-29 | 1
2024-03-32 | 1
2024-04-31 | 1
2024-05-32 | 1
2024-06-31 | 1
2024-07-32 | 1
2024-08-32 | 1
2024-09-31 | 1
2024-10-32 | 1
2024-11-31 | 1
2024-12-32 | 1

2024-01-31 | 1000.1
2024-02-29 | 1000.1
2024-03-31 | 1000.1
2024-04-30 | 1000.1
2024-05-31 | 1000.1
2024-06-30 | 1000.1
2024-07-31 | 1000.1
2024-08-31 | 1000.1
2024-09-30 | 1000.1
2024-10-31 | 1000.1
2024-11-30 | 1000.1
2024-12-31 | 1000.1
2024-12-366 | 1

